2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area mi2,2016 land area km2,2016 population density mi2,2016 population density km2,Location
77,Fort Wayne,Indiana,270402,253691,+6.59%,110.6 mi2,286.5 km2,2391/mi2,923/km2,41.0882°N 85.1439°W
78,St. Petersburg,Florida,265351,244769,+8.41%,61.8 mi2,160.1 km2,4223/mi2,1631/km2,27.7620°N 82.6441°W
79,Laredo,Texas,262491,236091,+11.18%,101.1 mi2,261.8 km2,2544/mi2,982/km2,27.5604°N 99.4892°W
80,Jersey City,New Jersey,262075,247597,+5.85%,14.8 mi2,38.3 km2,17848/mi2,6891/km2,40.7114°N 74.0648°W
81,Chandler,Arizona,261165,236123,+10.61%,64.9 mi2,168.1 km2,3813/mi2,1472/km2,33.2829°N 111.8549°W
82,Madison,Wisconsin,259680,233209,+11.35%,77.0 mi2,199.4 km2,3280/mi2,1270/km2,43.0878°N 89.4299°W
83,Lubbock,Texas,258862,229573,+12.76%,124.6 mi2,322.7 km2,2027/mi2,783/km2,33.5656°N 101.8867°W
84,Scottsdale,Arizona,258069,217385,+18.72%,183.9 mi2,476.3 km2,1341/mi2,518/km2,33.6843°N 111.8611°W
85,Reno,Nevada,255601,225221,+13.49%,107.3 mi2,277.9 km2,2286/mi2,883/km2,39.5491°N 119.8499°W
86,Buffalo,New York,255284,261310,-2.31%,40.4 mi2,104.6 km2,6359/mi2,2455/km2,42.8925°N 78.8597°W
87,Gilbert,Arizona,254114,208453,+21.90%,68.0 mi2,176.1 km2,3487/mi2,1346/km2,33.3103°N 111.7431°W
88,Glendale,Arizona,252381,226721,+11.32%,59.1 mi2,153.1 km2,4161/mi2,1607/km2,33.5331°N 112.1899°W
89,North Las Vegas,Nevada,251974,216961,+16.14%,98.0 mi2,253.8 km2,2436/mi2,941/km2,36.2857°N 115.0939°W
90,Winston–Salem,North Carolina,247945,229617,+7.98%,132.5 mi2,343.2 km2,1828/mi2,706/km2,36.1027°N 80.2610°W
91,Chesapeake,Virginia,244835,222209,+10.18%,338.5 mi2,876.7 km2,703/mi2,271/km2,36.6794°N 76.3018°W
92,Norfolk,Virginia,242742,242803,-0.03%,53.3 mi2,138.0 km2,4599/mi2,1776/km2,36.9230°N 76.2446°W
93,Fremont,California,241110,214089,+12.62%,77.5 mi2,200.7 km2,3008/mi2,1161/km2,37.4945°N 121.9412°W
